point,cluster_in_point,lat,lon,press,meta_cluster
1979_2020_01_P9,1,32.48,109.54,899.7,0
1979_2020_01_P9,2,32.48,109.54,899.8,0
1979_2020_01_P9,3,32.48,109.54,895.6,0
1979_2020_01_P9,4,32.48,109.54,897.2,0
1979_2020_01_P9,5,32.48,109.54,898.2,0
1979_2020_01_P9,6,32.48,109.54,905.0,0
1979_2020_01_P9,7,32.48,109.54,906.9,0
1979_2020_01_P10,1,32.1,111.3,927.2,6
1979_2020_01_P10,2,32.1,111.3,930.4,6
1979_2020_01_P10,3,32.1,111.3,931.6,6
1979_2020_01_P10,4,32.1,111.3,922.1,6
1979_2020_01_P10,5,32.1,111.3,935.2,6
1979_2020_01_P1,1,33.14,107.16,892.7,4
1979_2020_01_P1,2,33.14,107.16,893.1,4
1979_2020_01_P1,3,33.14,107.16,899.5,4
1979_2020_01_P2,1,33.3,109.8,882.6,8
1979_2020_01_P2,2,33.3,109.8,885.9,8
1979_2020_01_P2,3,33.3,109.8,878.8,8
1979_2020_01_P2,4,33.3,109.8,883.4,8
1979_2020_01_P2,5,33.3,109.8,884.6,8
1979_2020_01_P3,1,32.8,111.2,956.0,3
1979_2020_01_P3,2,32.8,111.2,956.7,3
1979_2020_01_P3,3,32.8,111.2,949.7,3
1979_2020_01_P3,4,32.8,111.2,953.2,3
1979_2020_01_P3,5,32.8,111.2,961.1,3
1979_2020_01_P3,6,32.8,111.2,952.1,3
1979_2020_01_P3,7,32.8,111.2,963.5,3
1979_2020_01_P3,8,32.8,111.2,960.9,3
1979_2020_01_P4,1,32.63,112.41,992.5,7
1979_2020_01_P4,2,32.63,112.41,975.6,7
1979_2020_01_P4,3,32.63,112.41,978.8,7
1979_2020_01_P4,4,32.63,112.41,974.9,7
1979_2020_01_P4,5,32.63,112.41,988.0,7
1979_2020_01_P4,6,32.63,112.41,984.8,7
1979_2020_01_P4,7,32.63,112.41,995.7,7
1979_2020_01_P5,1,31.3,112.54,978.2,5
1979_2020_01_P5,2,31.3,112.54,992.0,5
1979_2020_01_P5,3,31.3,112.54,987.1,5
1979_2020_01_P6,1,30.6,114.3,990.2,1
1979_2020_01_P6,2,30.6,114.3,999.6,1
1979_2020_01_P6,3,30.6,114.3,990.2,1
1979_2020_01_P6,4,30.6,114.3,1002.1,1
1979_2020_01_P7,1,34.0,107.5,798.5,2
1979_2020_01_P7,2,34.0,107.5,801.7,2
1979_2020_01_P7,3,34.0,107.5,801.8,2
1979_2020_01_P8,1,33.88,109.0,851.7,2
1979_2020_01_P8,2,33.88,109.0,853.9,2
1979_2020_01_P8,3,33.88,109.0,855.8,2
1979_2020_01_P8,4,33.88,109.0,850.1,2
1979_2020_01_P8,5,33.88,109.0,854.6,2
