file,cluster
C1_3_mean,4
C2_3_mean,3
C3_3_mean,2
C1_5_mean,3
C2_5_mean,1
C3_5_mean,2
C4_5_mean,4
C5_5_mean,2
C1_5_mean,4
C2_5_mean,1
C3_5_mean,4
C4_5_mean,3
C5_5_mean,2
C1_8_mean,3
C2_8_mean,2
C3_8_mean,4
C4_8_mean,4
C5_8_mean,1
C6_8_mean,3
C7_8_mean,2
C8_8_mean,1
C1_7_mean,2
C2_7_mean,3
C3_7_mean,4
C4_7_mean,4
C5_7_mean,1
C6_7_mean,3
C7_7_mean,2
C1_3_mean,3
C2_3_mean,2
C3_3_mean,1
C1_4_mean,3
C2_4_mean,3
C3_4_mean,1
C4_4_mean,2
C1_3_mean,4
C2_3_mean,1
C3_3_mean,2
C1_5_mean,3
C2_5_mean,1
C3_5_mean,1
C4_5_mean,4
C5_5_mean,2
C1_7_mean,3
C2_7_mean,2
C3_7_mean,4
C4_7_mean,1
C5_7_mean,4
C6_7_mean,1
C7_7_mean,2
